date,sunrise,sunset
2024-01-01,726.1275168391654,960.5721269377551
2024-01-02,724.8018953104475,962.7805830365529
2024-01-03,723.34689667386,965.1091277227819
2024-01-04,721.7686591903642,967.5508165419996
2024-01-05,720.0733109874875,970.098727097738
2024-01-06,718.2669106525112,972.746019328677
2024-01-07,716.3553976308633,975.4859859655428
2024-01-08,714.3445520325276,978.31209356393
2024-01-09,712.239963177797,981.2180147807541
2024-01-10,710.0470060397504,984.1976527359982
2024-01-11,707.770824649368,987.2451583929179
2024-01-12,705.4163215032698,990.3549419158088
2024-01-13,702.9881520369946,993.5216789415352
2024-01-14,700.4907232835268,996.7403126442597
2024-01-15,697.9281959147405,1000.0060523948645
2024-01-16,695.3044889524855,1003.3143697275369
2024-01-17,692.6232865286024,1006.6609922334512
2024-01-18,689.8880461637998,1010.0418959108613
2024-01-19,687.102008120512,1013.4532964157643
2024-01-20,684.2682054624343,1016.8916395797464
2024-01-21,681.3894745223649,1020.3535914927181
2024-01-22,678.4684655400118,1023.8360283882519
2024-01-23,675.5076532827867,1027.3360265179022
2024-01-24,672.5093475059064,1030.8508521576205
2024-01-25,669.4757031441272,1034.3779518534116
2024-01-26,666.4087301569704,1037.9149429838733
2024-01-27,663.3103029732509,1041.4596046933457
2024-01-28,660.182169499883,1045.0098692302695
2024-01-29,657.0259596750625,1048.5638137102624
2024-01-30,653.8431935577173,1052.1196523116678
2024-01-31,650.6352889541139,1055.6757289023678
2024-02-01,647.4035685892779,1059.2305100899246
2024-02-02,644.1492668358217,1062.782578682209
2024-02-03,640.873536016248,1066.330627542248
2024-02-04,637.5774522971345,1069.873453818709
2024-02-05,634.2620211950289,1073.409953532073
2024-02-06,630.92818271461,1076.9391164958347
2024-02-07,627.576816139878,1080.4600215519324
2024-02-08,624.2087444989274,1083.9718320998172
2024-02-09,620.8247387223778,1087.473791899129
2024-02-10,617.4255215148361,1090.9652211266582
2024-02-11,614.0117709579334,1094.4455126691482
2024-02-12,610.5841238625583,1097.914128634466
2024-02-13,607.1431788869395,1101.370597064651
2024-02-14,603.6894994362477,1104.8145088353997
2024-02-15,600.2236163584021,1108.2455147275414
2024-02-16,596.7460304498159,1111.663322657068
2024-02-17,593.2572147838849,1115.0676950512375
2024-02-18,589.7576168741432,1118.458446359187
2024-02-19,586.2476606831775,1121.8354406863693
2024-02-20,582.7277484876029,1125.198589542935
2024-02-21,579.1982626086651,1128.5478496969758
2024-02-22,575.6595670173605,1131.8832211242338
2024-02-23,572.1120088223182,1135.2047450465723
2024-02-24,568.5559196481129,1138.5125020521148
2024-02-25,564.9916169111302,1141.806610290528
2024-02-26,561.419404999613,1145.0872237374633
2024-02-27,557.8395763640605,1148.3545305226464
2024-02-28,554.252412523733,1151.6087513165628
2024-02-29,550.6581849946373,1154.8501377710927
2024-03-01,547.0571561440112,1158.0789710098272
2024-03-02,543.449579976016,1161.295560164146
2024-03-03,539.8357028530487,1164.5002409514555
2024-03-04,536.2157641568216,1167.6933742922674
2024-03-05,532.5899968931203,1170.8753449630854
2024-03-06,528.9586282439226,1174.0465602822808
2024-03-07,525.3218800703711,1177.2074488263927
2024-03-08,521.6799693698997,1180.3584591744686
2024-03-09,518.0331086906557,1183.5000586782603
2024-03-10,514.3815065062042,1186.63273225626
2024-03-11,510.725367553367,1189.7569812097072
2024-03-12,507.0648931359181,1192.8733220588567
2024-03-13,503.40028139675087,1195.9822853979094
2024-03-14,499.7317275610207,1199.0844147671419
2024-03-15,496.0594241526812,1202.1802655408671
2024-03-16,492.38356118673653,1205.270403829964
2024-03-17,488.70432633946575,1208.355405397798
2024-03-18,485.0219050987936,1211.4358545884365
2024-03-19,481.33648089692855,1214.5123432661378
2024-03-20,477.64823522732473,1217.5854697651494
2024-03-21,473.957347747974,1220.6558378489212
2024-03-22,470.2639963729936,1223.7240556778745
2024-03-23,466.56835735442644,1226.7907347849264
2024-03-24,462.8706053561436,1229.856489057992
2024-03-25,459.1709135217004,1232.921933728737
2024-03-26,455.46945353798054,1235.9876843668528
2024-03-27,451.76639569643305,1239.0543558791712
2024-03-28,448.0619089537005,1242.122561512928
2024-03-29,444.3561609934174,1245.1929118625033
2024-03-30,440.64931829096133,1248.266013878957
2024-03-31,436.94154618293015,1251.342469881681
2024-04-01,433.23300894313536,1254.4228765714597
2024-04-02,429.523869866904,1257.5078240442276
2024-04-03,425.8142913655079,1260.597894804762
2024-04-04,422.10443507256286,1263.6936627795315
2024-04-05,418.39446196427394,1266.7956923278484
2024-04-06,414.68453249545126,1269.9045372504418
2024-04-07,410.9748067532686,1273.0207397944741
2024-04-08,407.2654446308065,1276.1448296539543
2024-04-09,403.5566060224977,1279.2773229644094
2024-04-10,399.8484510436833,1282.4187212905513
2024-04-11,396.14114027659457,1285.5695106055593
2024-04-12,392.43483504520503,1288.7301602604502
2024-04-13,388.72969772153425,1291.901121941838
2024-04-14,385.0258920661618,1295.0828286161925
2024-04-15,381.32358360589495,1298.2756934584925
2024-04-16,377.6229400517652,1301.4801087629137
2024-04-17,373.9241317607784,1304.6964448329193
2024-04-18,370.22733224514207,1307.925048847779
2024-04-19,366.53271873303174,1311.1662437021985
2024-04-20,362.8404727853441,1314.420326815309
2024-04-21,359.15078097333117,1317.6875689047915
2024-04-22,355.46383562252123,1320.9682127213807
2024-04-23,351.7798356289136,1324.26247173836
2024-04-24,348.09898735410803,1327.570528789975
2024-04-25,344.421505606794,1330.8925346518733
2024-04-26,340.74761471891264,1334.2286065557792
2024-04-27,337.0775497258072,1337.5788266295547
2024-04-28,333.4115576608476,1340.9432402526052
2024-04-29,329.7498989763418,1344.3218543152248
2024-04-30,326.0928491040842,1347.7146353688959
2024-05-01,322.44070017065246,1351.1215076527699
2024-05-02,318.793762884594,1354.5423509794796
2024-05-03,315.1523686149846,1357.9769984610655
2024-05-04,311.516871683534,1361.4252340530547
2024-05-05,307.88765189552424,1364.8867898916023
2024-05-06,304.2651173384626,1368.361343394948
2024-05-07,300.64970748146976,1371.8485140962837
2024-05-08,297.0418966132345,1375.3478601702693
2024-05-09,293.4421976619026,1378.8588746098571
2024-05-10,289.85116644670194,1382.3809810036216
2024-05-11,286.2694064185352,1385.913528856314
2024-05-12,282.6975739553827,1389.4557883867203
2024-05-13,279.1363842883288,1393.0069447268843
2024-05-14,275.5866181455601,1396.566091435191
2024-05-15,272.0491292150141,1400.132223222435
2024-05-16,268.5248525417687,1403.704227774545
2024-05-17,265.0148139939957,1407.2808765378772
2024-05-18,261.5201409517004,1410.8608143125396
2024-05-19,258.0420743958065,1414.4425474758452
2024-05-20,254.58198260171358,1418.0244306313882
2024-05-21,251.1413766714908,1421.6046514491577
2024-05-22,247.7219281724869,1425.1812134284623
2024-05-23,244.3254891872402,1428.7519162782874
2024-05-24,240.954115119794,1432.3143335694654
2024-05-25,237.61009064586102,1435.8657872706592
2024-05-26,234.2959592370713,1439.4033187373327
2024-05-27,231.0145567297334,1442.9236556826652
2024-05-28,227.7690494414398,1446.4231746264236
2024-05-29,224.56297735701014,1449.8978582996183
2024-05-30,221.4003028976164,1453.343247490388
2024-05-31,218.28546573709366,1456.7543868663686
2024-06-01,215.22344401400443,1460.12576442421
2024-06-02,212.21982207404255,1463.451244430859
2024-06-03,209.2808645199806,1466.7239940785835
2024-06-04,206.41359578614342,1469.9364046359044
2024-06-05,203.62588361619993,1473.0800087147786
2024-06-06,200.9265236174414,1476.1453964799628
2024-06-07,198.32532039535306,1479.1221352958378
2024-06-08,195.83315855423385,1481.9986995240045
2024-06-09,193.46205404448946,1484.7624199900556
2024-06-10,191.2251730133901,1487.3994659617745
2024-06-11,189.13680173811147,1489.8948760589278
2024-06-12,187.21224796297318,1492.2326577717417
2024-06-13,185.46765202464272,1494.3959772032597
2024-06-14,183.91968699444593,1496.367459805402
2024-06-15,182.5851324934322,1498.129617452027
2024-06-16,181.48031852521555,1499.6654055029073
2024-06-17,180.62045434745863,1500.9588948366763
2024-06-18,180.0188817215742,1501.9960195120887
2024-06-19,179.68631753768963,1502.7653350594585
2024-06-20,179.63017066600165,1503.258702550045
2024-06-21,179.8540237964427,1503.4718076803615
2024-06-22,180.35735727399262,1503.4044378629721
2024-06-23,181.13555872349218,1503.0604735287977
2024-06-24,182.18021704332878,1502.4475950604622
2024-06-25,183.47965452464808,1501.5767515989019
2024-06-26,185.0196186505977,1500.4614701676314
2024-06-27,186.78404260872995,1499.1170960804243
2024-06-28,188.7557904986139,1497.5600486492574
2024-06-29,190.91732366229627,1495.8071557637822
2024-06-30,193.25125033850378,1493.8751051403367
2024-07-01,195.74074493096936,1491.7800259490305
2024-07-02,198.36984146557597,1489.5371962431389
2024-07-03,201.12361709864226,1487.1608603274128
2024-07-04,203.98828664081077,1484.6641350997959
2024-07-05,206.95122968790852,1482.058983774131
2024-07-06,210.0009698905949,1479.3562374510282
2024-07-07,213.12712258855208,1476.5656483101159
2024-07-08,216.32032345362944,1473.6959617782795
2024-07-09,219.57214748357532,1470.7549983312733
2024-07-10,222.87502491371518,1467.749738360393
2024-07-11,226.22215842783214,1464.6864057220114
2024-07-12,229.60744440883337,1461.5705472284842
2024-07-13,233.0253997878633,1458.4071065208666
2024-07-14,236.47109523088255,1455.2004915835535
2024-07-15,239.94009485548827,1451.954635707222
2024-07-16,243.42840232353825,1448.673052053692
2024-07-17,246.93241294841198,1445.3588821830817
2024-07-18,250.44887134531703,1442.0149390140746
2024-07-19,253.97483410660547,1438.6437447346043
2024-07-20,257.507636978658,1435.2475641856813
2024-07-21,261.04486603648235,1431.8284342215416
2024-07-22,264.58433238593574,1428.3881895155532
2024-07-23,268.1240499641834,1424.9284852406554
2024-07-24,271.6622160520265,1421.450817010109
2024-07-25,275.1971941541781,1417.9565384219234
2024-07-26,278.7274989437616,1414.4468765101778
2024-07-27,282.2517830043602,1410.9229453694088
2024-07-28,285.76882513646694,1407.3857581847758
2024-07-29,289.2775200251083,1403.836237870809
2024-07-30,292.77686909189094,1400.2752264951184
2024-07-31,296.26597237795676,1396.7034936402267
2024-08-01,299.74402132463155,1393.1217438364436
2024-08-02,303.21029233622994,1389.530623181043
2024-08-03,306.66414102480155,1385.9307252437297
2024-08-04,310.1049970499002,1382.3225963451173
2024-08-05,313.5323594779395,1378.7067402834973
2024-08-06,316.94579259564176,1375.0836225752787
2024-08-07,320.3449221206699,1371.453674265919
2024-08-08,323.7294317599558,1367.8172953608007
2024-08-09,327.09906007265147,1364.174857919115
2024-08-10,330.45359760018016,1360.5267088483172
2024-08-11,333.79288423066265,1356.8731724319432
2024-08-12,337.11680676915233,1353.2145526194763
2024-08-13,340.42529668871987,1349.5511351033563
2024-08-14,343.7183280405469,1345.8831892051767
2024-08-15,346.9959155039115,1342.2109695903966
2024-08-16,350.25811255930046,1338.5347178286047
2024-08-17,353.50500976994084,1334.8546638143348
2024-08-18,356.7367331588306,1331.1710270616954
2024-08-19,359.95344266990827,1327.4840178845432
2024-08-20,363.1553307033612,1323.793838472606
2024-08-21,366.3426207162629,1320.1006838728154
2024-08-22,369.5155658807718,1316.404742884091
2024-08-23,372.6744477930299,1312.7061988729506
2024-08-24,375.8195752267053,1309.0052305165516
2024-08-25,378.951282925815,1305.3020124791087
2024-08-26,382.0699304320866,1301.5967160270368
2024-08-27,385.17590094265,1297.8895095876778
2024-08-28,388.2696001943332,1294.1805592560113
2024-08-29,391.3514553712446,1290.470029253368
2024-08-30,394.42191403270203,1286.7580823418293
2024-08-31,397.4814430588816,1283.044880197696
2024-09-01,400.5305276118508,1279.3305837471548
2024-09-02,403.5696701099012,1275.6153534670482
2024-09-03,406.59938921331,1271.8993496534592
2024-09-04,409.62021881986215,1268.1827326606474
2024-09-05,412.63270706862704,1264.4656631127368
2024-09-06,415.637415350637,1260.7483020904212
2024-09-07,418.6349173252457,1257.0308112948444
2024-09-08,421.6257979410539,1253.3133531907285
2024-09-09,424.61065246039436,1249.5960911307309
2024-09-10,427.5900854864482,1245.8791894629537
2024-09-11,430.56470999213815,1242.1628136234724
2024-09-12,433.5351463500111,1238.447130215697
2024-09-13,436.5020213623665,1234.7323070783523
2024-09-14,439.4659672909347,1231.01851334383
2024-09-15,442.4276208854425,1227.305919488639
2024-09-16,445.38762241042724,1223.5946973776774
2024-09-17,448.34661466968083,1219.8850203040254
2024-09-18,451.3052420277168,1216.1770630259703
2024-09-19,454.2641494276552,1212.4710018029666
2024-09-20,457.2239814049254,1208.767014432245
2024-09-21,460.18538109616946,1205.0652802877983
2024-09-22,463.14898924272336,1201.3659803634853
2024-09-23,466.1154431880296,1197.6692973220222
2024-09-24,469.0853758683079,1193.975415551645
2024-09-25,472.05941479578274,1190.2845212322745
2024-09-26,475.0381810337248,1186.596802413033
2024-09-27,478.02228816252165,1182.9124491030184
2024-09-28,481.0123412359421,1179.2316533772769
2024-09-29,484.0089357266997,1175.5546094999709
2024-09-30,487.0126564603628,1171.88151406679
2024-10-01,490.02407653657684,1168.2125661687269
2024-10-02,493.04375623649815,1164.5479675793977
2024-10-03,496.0722419152397,1160.8879229681654
2024-10-04,499.1100648780415,1157.2326401414145
2024-10-05,502.15774023876816,1153.5823303144095
2024-10-06,505.2157657592215,1149.9372084162728
2024-10-07,508.284620667632,1146.297493430732
2024-10-08,511.3647644545474,1142.663408775404
2024-10-09,514.456635644196,1139.0351827225143
2024-10-10,517.5606505392228,1135.4130488641053
2024-10-11,520.6772019365319,1131.7972466249346
2024-10-12,523.8066578117539,1128.1880218264494
2024-10-13,526.9493599696568,1124.5856273054167
2024-10-14,530.105622657573,1120.9903235909885
2024-10-15,533.2757311386632,1117.40237964423
2024-10-16,536.4599402215567,1113.8220736643766
2024-10-17,539.6584727426015,1110.2496939663797
2024-10-18,542.8715179966235,1106.6855399345911
2024-10-19,546.0992301117367,1103.1299230577847
2024-10-20,549.3417263633379,1099.583168051069
2024-10-21,552.5990854220058,1096.045614070652
2024-10-22,555.8713455295414,1092.5176160278531
2024-10-23,559.1585025968875,1088.9995460092282
2024-10-24,562.4605082171115,1085.491794810207
2024-10-25,565.7772675860363,1081.9947735901862
2024-10-26,569.1086373224656,1078.508915657647
2024-10-27,572.4544231792536,1075.0346783945158
2024-10-28,575.8143776357227,1071.572545329699
2024-10-29,579.1881973611394,1068.1230283724858
2024-10-30,582.5755205381117,1064.6866702173172
2024-10-31,585.9759240338717,1061.2640469322896
2024-11-01,589.3889204064637,1057.855770744659
2024-11-02,592.8139547318852,1054.4624930375553
2024-11-03,596.2504012371979,1051.0849075731062
2024-11-04,599.6975597236176,1047.7237539581372
2024-11-05,603.1546517625503,1044.3798213696232
2024-11-06,606.6208166465484,1041.0539525580198
2024-11-07,610.095107076227,1037.747048147496
2024-11-08,613.5764845633437,1034.4600712528916
2024-11-09,617.0638145295842,1031.1940524338434
2024-11-10,620.5558610801647,1027.9500950069175
2024-11-11,624.051281431262,1024.7293807366455
2024-11-12,627.5486199706386,1021.533175925971
2024-11-13,631.0463019317666,1018.3628379256346
2024-11-14,634.5426266634872,1015.2198220802546
2024-11-15,638.0357604799499,1012.1056891261193
2024-11-16,641.5237290795841,1009.0221130516585
2024-11-17,645.0044095274326,1005.9708894259455
2024-11-18,648.4755218027749,1002.9539441929489
2024-11-19,651.9346199240028,999.9733429191836
2024-11-20,655.3790826757624,997.0313004693184
2024-11-21,658.8061039800507,994.1301910675919
2024-11-22,662.2126829739734,991.2725586818349
2024-11-23,665.5956138830019,988.4611276407271
2024-11-24,668.9514758106837,985.6988133627773
2024-11-25,672.276622604664,982.988733036563
2024-11-26,675.567173005485,980.3342160451415
2024-11-27,678.8190013395521,977.7388138725765
2024-11-28,682.0277290814671,975.2063091666947
2024-11-29,685.1887176836237,972.7407235594484
2024-11-30,688.2970631520338,970.3463237651716
2024-12-01,691.347592935357,968.0276253889728
2024-12-02,694.3348657863294,965.7893937852659
2024-12-03,697.2531753470129,963.6366412141855
2024-12-04,700.0965582951808,961.5746194577075
2024-12-05,702.85880796017,959.6088069862708
2024-12-06,705.5334943614504,957.7448897217358
2024-12-07,708.11399162832,955.9887344373483
2024-12-08,710.5935137086196,954.346353885863
2024-12-09,712.9651591512209,952.8238628701051
2024-12-10,715.2219655346845,951.4274246825836
2024-12-11,717.3569737994349,950.1631876558051
2024-12-12,719.3633023157325,949.0372119899838
2024-12-13,721.2342299873941,948.0553875571574
2024-12-14,722.9632870681215,947.2233440038004
2024-12-15,724.5443516866485,946.5463551546559
2024-12-16,725.971749389727,946.0292404076885
2024-12-17,727.240352385005,945.6762664370215
2024-12-18,728.3456746761341,945.4910530104188
2024-12-19,729.2839590076677,945.4764870026505
2024-12-20,730.0522515434149,945.6346486799652
2024-12-21,730.6484605298705,945.9667540029282
2024-12-22,731.0713958508567,946.4731160403782
2024-12-23,731.3207873228752,947.1531276438703
2024-12-24,731.3972807341551,948.0052663785049
2024-12-25,731.302411883562,949.027121452847
2024-12-26,731.0385601026095,950.2154411635752
2024-12-27,730.6088838229956,951.5661982913144
2024-12-28,730.0172415844321,953.0746700517706
2024-12-29,729.2681024004563,954.7355286833644
2024-12-30,728.3664495935149,956.5429385589732
2024-12-31,727.3176820955291,958.4906558244709
2025-01-01,726.1240672954793,960.5780071545585
